login,name,company,followers,following,posts_30d,topics,bio
0,0,,1,1,6,"[""tvshow""]",
1,1,,34,34,5,"[""government""]",
2,2,,12,12,1,"[""company""]",
3,3,,10,10,1,"[""government""]",
4,4,,51,51,2,"[""politician""]",
5,5,,22,22,9,"[""politician""]",
6,6,,16,16,3,"[""politician""]",
7,7,,3,3,6,"[""politician""]",
8,8,,3,3,10,"[""government""]",
9,9,,2,2,4,"[""government""]",
10,10,,3,3,10,"[""government""]",
11,11,,4,4,5,"[""politician""]",
12,12,,6,6,7,"[""government""]",
13,13,,17,17,5,"[""government""]",
14,14,,55,55,0,"[""government""]",
15,15,,3,3,11,"[""government""]",
16,16,,1,1,3,"[""company""]",
17,17,,4,4,9,"[""politician""]",
18,18,,38,38,1,"[""government""]",
19,19,,13,13,9,"[""company""]",
20,20,,1,1,6,"[""politician""]",
21,21,,3,3,5,"[""company""]",
22,22,,28,28,0,"[""government""]",
23,23,,4,4,11,"[""company""]",
24,24,,4,4,4,"[""company""]",
25,25,,5,5,11,"[""company""]",
26,26,,30,30,0,"[""government""]",
27,27,,6,6,2,"[""tvshow""]",
28,28,,4,4,4,"[""company""]",
29,29,,15,15,7,"[""company""]",
30,30,,5,5,4,"[""company""]",
31,31,,10,10,9,"[""government""]",
32,32,,43,43,0,"[""government""]",
33,33,,2,2,7,"[""politician""]",
34,34,,2,2,3,"[""politician""]",
35,35,,6,6,0,"[""company""]",
36,36,,4,4,9,"[""company""]",
37,37,,18,18,10,"[""government""]",
38,38,,6,6,5,"[""government""]",
39,39,,17,17,3,"[""government""]",
40,40,,5,5,6,"[""politician""]",
41,41,,23,23,9,"[""government""]",
42,42,,6,6,5,"[""company""]",
43,43,,13,13,11,"[""government""]",
44,44,,59,59,4,"[""tvshow""]",
45,45,,13,13,7,"[""company""]",
46,46,,9,9,7,"[""politician""]",
47,47,,13,13,5,"[""government""]",
48,48,,4,4,5,"[""company""]",
49,49,,31,31,4,"[""company""]",
50,50,,20,20,11,"[""government""]",
51,51,,11,11,3,"[""politician""]",
52,52,,11,11,0,"[""tvshow""]",
53,53,,1,1,6,"[""company""]",
54,54,,6,6,3,"[""government""]",
55,55,,17,17,1,"[""tvshow""]",
56,56,,20,20,5,"[""government""]",
57,57,,15,15,9,"[""company""]",
58,58,,6,6,0,"[""government""]",
59,59,,3,3,5,"[""politician""]",
60,60,,16,16,8,"[""politician""]",
61,61,,94,94,2,"[""company""]",
62,62,,2,2,1,"[""politician""]",
63,63,,2,2,6,"[""company""]",
64,64,,23,23,6,"[""government""]",
65,65,,12,12,7,"[""company""]",
66,66,,10,10,11,"[""company""]",
67,67,,6,6,11,"[""politician""]",
68,68,,5,5,3,"[""tvshow""]",
69,69,,8,8,0,"[""tvshow""]",
70,70,,19,19,5,"[""tvshow""]",
71,71,,1,1,8,"[""politician""]",
72,72,,20,20,11,"[""government""]",
73,73,,8,8,11,"[""politician""]",
74,74,,25,25,8,"[""government""]",
75,75,,7,7,9,"[""government""]",
76,76,,1,1,9,"[""company""]",
77,77,,29,29,6,"[""politician""]",
78,78,,1,1,5,"[""politician""]",
79,79,,8,8,0,"[""tvshow""]",
80,80,,6,6,11,"[""government""]",
81,81,,47,47,6,"[""government""]",
82,82,,5,5,10,"[""politician""]",
83,83,,10,10,0,"[""government""]",
84,84,,5,5,8,"[""government""]",
85,85,,8,8,1,"[""government""]",
86,86,,7,7,10,"[""company""]",
87,87,,2,2,4,"[""government""]",
88,88,,49,49,9,"[""government""]",
89,89,,5,5,0,"[""politician""]",
